--- 12.8250000477 seconds ---
         643997 function calls in 12.695 seconds


   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      180   12.483    0.069   12.581    0.070 D:/M.Tech work/proper/h_fgm.py:41(find_matches)
       14    0.071    0.005    0.071    0.005 {method 'readlines' of 'file' objects}
      742    0.005    0.000    0.065    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\iostream.py:196(write)
      108    0.001    0.000    0.051    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\iostream.py:140(flush)
      108    0.002    0.000    0.041    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\session.py:583(send)

   279096    0.040    0.000    0.040    0.000 {method 'lower' of 'str' objects}
      297    0.005    0.000    0.031    0.000 {any}
   279096    0.024    0.000    0.024    0.000 {method 'rstrip' of 'str' objects}
      108    0.001    0.000    0.016    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\session.py:524(serialize)
      108    0.001    0.000    0.011    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\session.py:490(msg)
      108    0.001    0.000    0.011    0.000 C:\Anaconda\lib\site-packages\zmq\sugar\socket.py:232(send_multipart)
      756    0.010    0.000    0.010    0.000 {method 'send' of 'zmq.backend.cython.socket.Socket' objects}
      432    0.001    0.000    0.010    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\session.py:92(<lambda>)
      432    0.001    0.000    0.009    0.000 C:\Anaconda\lib\site-packages\zmq\utils\jsonapi.py:31(dumps)
      108    0.001    0.000    0.009    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\session.py:487(msg_header)
      432    0.002    0.000    0.008    0.000 C:\Anaconda\lib\json\__init__.py:193(dumps)
      108    0.001    0.000    0.007    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\session.py:435(msg_id)
      108    0.001    0.000    0.006    0.000 C:\Anaconda\lib\uuid.py:546(uuid4)
      432    0.001    0.000    0.005    0.000 C:\Anaconda\lib\json\encoder.py:186(encode)
      742    0.002    0.000    0.005    0.000 {method 'decode' of 'str' objects}
      108    0.001    0.000    0.005    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\iostream.py:112(_flush_from_subprocesses)
